Draw,Date,win1,win2,win3,win4,win5,win6,addno,fromlast,same_as_day,odd,even, 1-10, 11-20, 21-30, 31-40, 41-50,win1_no,win1_price,win2_no,win2_price,win3_no,win3_price,win4_no,win4_price,win5_no,win5_price,win6_no,win6_price,win7_no,win7_price
3271,1/6/17,9,15,17,22,44,46,2,15,,3,3,1,2,1,0,2,0,0,1,220385,79,1918,234,354,4029,50,6875,25,80879,10
3270,29/5/17,13,15,16,27,36,47,24,,,4,2,0,3,1,1,1,1,2492273,3,252025,95,2176,275,410,5369,50,7569,25,103042,10
3269,25/5/17,3,8,11,32,44,46,12,44,,2,4,2,1,0,1,2,0,0,0,0,87,1771,181,465,4350,50,7242,25,85690,10
3268,22/5/17,21,24,31,34,37,44,45,44,,3,3,0,0,2,3,1,1,1099071,0,0,164,970,158,550,3848,50,4641,25,73077,10
3267,18/5/17,4,23,43,44,46,48,16,23,,2,4,1,0,1,0,4,2,529816,3,74361,63,2435,151,554,3744,50,4590,25,67663,10
3266,15/5/17,8,14,16,23,24,27,5,"8,27",,2,4,1,2,3,0,0,2,2233143,9,46505,203,1418,649,242,9442,50,18179,25,168566,10
3265,11/5/17,8,9,12,18,27,45,13,45,,3,3,2,2,1,0,1,0,0,3,94188,283,687,414,256,10929,50,10969,25,156130,10
3264,8/5/17,5,21,29,30,38,45,1,,,4,2,1,0,3,1,1,0,0,1,631272,63,2610,198,453,4571,50,6764,25,89219,10
3263,4/5/17,4,13,14,36,41,43,45,,4,3,3,1,2,0,1,2,1,4338512,0,0,164,1644,348,423,8360,50,9792,25,143950,10
3262,1/5/17,8,17,24,29,32,45,14,32,,3,3,1,1,2,1,1,0,0,2,148469,117,1745,365,306,5795,50,7888,25,111683,10
3261,27/4/17,4,7,15,31,32,43,37,"31,32",,4,2,2,1,0,2,1,0,0,1,224332,66,2337,152,554,4292,50,5234,25,84699,10
3260,24/4/17,2,8,22,31,32,35,36,2,,2,4,2,0,1,3,0,1,1106963,3,77682,85,1885,235,372,4795,50,6392,25,92774,10
3259,20/4/17,2,12,25,28,37,38,22,"12,25,28",,2,4,1,1,2,2,0,1,1075999,4,56632,83,1877,255,334,4584,50,7238,25,86240,10
3258,17/4/17,12,17,25,28,36,44,3,,17,2,4,0,2,2,1,1,2,562158,4,59175,105,1550,283,314,4949,50,7780,25,92821,10
3257,13/4/17,7,9,16,27,32,47,36,,,4,2,2,1,1,1,1,1,2582205,4,73578,159,1273,318,348,6701,50,8609,25,125560,10
3256,10/4/17,13,19,20,23,29,31,48,20,,5,1,0,3,2,1,0,0,0,2,124656,139,1234,194,482,6193,50,5432,25,106984,10
3255,6/4/17,10,12,20,27,43,46,26,,,2,4,1,2,1,0,2,1,4726002,3,142907,158,1866,340,473,8454,50,11723,25,165655,10
3254,3/4/17,1,28,30,32,40,48,31,28,,1,5,1,0,2,2,1,0,0,6,54343,119,1884,244,502,5263,50,7750,25,103444,10
3253,30/3/17,28,34,38,39,42,46,24,28,,1,5,0,0,1,3,2,0,0,2,120087,54,3058,175,515,3527,50,5504,25,71263,10
3252,27/3/17,1,27,28,40,41,44,36,"28,44",27,3,3,1,0,2,1,2,0,0,4,2138384,224,2110,580,445,12946,50,17108,25,237924,10
3251,23/3/17,5,13,18,25,28,44,16,,,3,3,1,2,2,0,1,0,0,3,137389,192,1476,457,339,10222,50,12469,25,174863,10
3250,20/3/17,6,20,30,41,42,45,35,20,20,2,4,1,1,1,0,3,0,0,4,78380,74,2913,240,490,5409,50,7983,25,105543,10
3249,16/3/17,2,9,15,19,20,37,29,,,4,2,2,3,0,1,0,0,0,2,121471,150,1114,471,194,8114,50,10610,25,124235,10
3248,13/3/17,6,28,30,35,39,42,33,6,,2,4,1,0,2,2,1,1,4879381,2,227669,156,2007,397,431,8067,50,11608,25,154892,10
3247,9/3/17,2,6,9,17,26,46,13,,9,2,4,3,1,1,0,1,0,0,9,34623,254,844,703,167,11185,50,13010,25,162823,10
3246,6/3/17,16,22,28,36,39,47,3,36,,2,4,0,1,2,2,1,0,0,1,260299,78,2295,251,389,4397,50,6914,25,80396,10
3245,2/3/17,8,14,20,35,36,41,38,35,,2,4,1,2,0,2,1,1,1241306,2,130664,139,1293,229,428,5137,50,6504,25,93943,10
3244,27/2/17,22,25,27,29,35,49,31,,27,5,1,0,0,4,1,1,1,1289621,3,90500,131,1425,260,392,5915,50,6781,25,101943,10
3243,23/2/17,7,8,9,28,41,42,29,,,3,3,3,0,1,0,2,2,4260162,8,89302,326,1507,1082,248,18190,50,25391,25,325705,10
3242,20/2/17,2,6,13,17,23,46,3,17,,3,3,2,2,1,0,1,0,0,2,238074,184,1780,584,306,11097,50,18530,25,198395,10
3241,16/2/17,8,17,31,43,44,48,46,,,3,3,1,1,0,1,3,0,0,2,167482,107,2153,295,426,6233,50,8342,25,117875,10
3240,13/2/17,7,10,19,23,24,33,3,"7,24",,4,2,2,1,2,1,0,0,0,5,53647,128,1441,403,250,6865,50,12078,25,118501,10
3239,10/2/17,2,7,24,27,29,34,21,,,3,3,2,0,3,1,0,4,3000413,26,89083,1052,1514,2516,346,53715,50,70461,25,938603,10
3238,6/2/17,9,14,17,25,30,36,44,,,3,3,1,2,2,1,0,4,2625703,12,81688,458,1472,958,384,22827,50,25627,25,405957,10
3237,2/2/17,11,20,21,29,37,48,23,21,,4,2,0,2,2,1,1,0,0,8,70619,182,2135,565,375,10666,50,14967,25,202080,10
3236,30/1/17,21,22,25,27,32,39,6,22,,4,2,0,0,4,2,0,0,0,5,77952,150,1787,336,435,7551,50,11589,25,136121,10
3235,26/1/17,8,12,16,19,22,46,6,,,1,5,1,3,1,0,1,0,0,1,276164,128,1484,465,223,7176,50,13879,25,125569,10
3234,23/1/17,5,14,23,28,45,49,39,"5,49",23,4,2,1,1,2,0,2,1,4942864,6,78776,241,1349,408,435,10367,50,11695,25,186504,10
3233,19/1/17,5,8,16,44,48,49,32,,,2,4,2,1,0,0,3,0,0,3,104625,145,1489,315,374,7119,50,8624,25,127692,10
3232,16/1/17,2,7,17,21,35,42,16,,,4,2,2,1,1,1,1,0,0,2,127039,136,1285,254,376,6501,50,7548,25,101037,10
3231,12/1/17,3,6,12,25,40,43,42,,12,3,3,2,1,1,1,1,2,4081565,14,50442,306,1587,733,362,16203,50,18178,25,297875,10
3230,9/1/17,8,29,33,34,42,49,21,33,,3,3,1,0,1,2,2,0,0,2,227550,114,2745,401,426,7641,50,11635,25,152568,10
3229,5/1/17,7,15,20,33,39,44,43,,,4,2,1,2,0,2,1,0,0,4,76144,87,2407,257,445,6242,50,6946,25,115576,10
3228,2/1/17,1,18,22,35,38,49,30,,,3,3,1,1,1,2,1,0,0,2,126352,88,1975,200,474,4756,50,6083,25,89075,10
3227,29/12/16,2,4,34,36,42,46,15,46,,0,6,2,0,0,2,2,1,1121765,1,236161,86,1888,160,554,3832,50,5067,25,73474,10
3226,26/12/16,8,10,18,25,28,46,23,28,,1,5,2,1,2,0,1,3,368554,4,58193,118,1357,317,276,7303,50,8507,25,115490,10
3225,22/12/16,3,28,37,38,44,47,46,,,3,3,1,0,1,2,2,1,7630364,5,131039,217,2076,506,486,11974,50,14974,25,222339,10
3224,19/12/16,10,11,24,27,36,49,43,24,,3,3,1,1,2,1,1,0,0,2,358021,201,1492,363,451,9823,50,10404,25,177472,10
3223,15/12/16,4,18,24,39,46,47,10,46,,2,4,1,1,1,1,2,0,0,0,0,87,2214,174,604,4518,50,6429,25,86537,10
3222,12/12/16,2,14,31,36,43,46,39,46,,2,4,1,1,0,2,2,0,0,2,117580,65,2488,181,488,3449,50,5010,25,69516,10
3221,8/12/16,6,8,11,24,37,46,23,"11,24,37",8,2,4,2,1,1,1,1,1,1040938,3,73049,82,1838,257,320,5779,50,7026,25,102349,10
3220,5/12/16,5,9,11,19,24,37,36,"19,24",5,5,1,2,2,1,1,0,1,7433542,7,96676,490,950,822,309,21511,50,22079,25,346245,10
3219,1/12/16,3,4,8,19,24,46,12,"4,24",,2,4,3,1,1,0,1,0,0,7,55534,171,1563,676,216,9453,50,17715,25,166905,10
3218,28/11/16,2,4,15,24,37,48,6,2,,2,4,2,1,1,1,1,0,0,3,95203,110,1786,342,314,5133,50,9180,25,96313,10
3217,24/11/16,2,3,17,19,22,40,20,40,,3,3,2,2,1,1,0,0,0,2,106945,72,2043,268,300,4597,50,7118,25,85564,10
3216,21/11/16,4,21,25,40,47,48,49,21,21,3,3,1,0,2,1,2,1,2455190,5,58714,79,2555,250,441,4735,50,7795,25,92954,10
3215,17/11/16,1,21,31,36,39,43,38,31,,5,1,1,0,1,3,1,0,0,2,111657,85,1807,160,524,3661,50,4813,25,72230,10
3214,14/11/16,8,10,15,31,38,40,19,,,2,4,2,1,0,3,0,0,0,5,1639018,285,1647,822,312,16601,50,21610,25,291920,10
3213,10/11/16,17,22,26,34,41,47,42,41,,3,3,0,1,2,1,2,0,0,1,389050,137,1953,321,455,6607,50,8572,25,124996,10
3212,7/11/16,1,13,21,41,48,49,22,1,,5,1,1,1,1,0,3,0,0,2,144519,86,2311,252,431,5403,50,7037,25,99517,10
3211,3/11/16,1,11,19,26,35,39,14,19,,5,1,1,2,1,2,0,0,0,1,518824,77,1974,215,386,4989,50,6123,25,91571,10
3210,31/10/16,14,19,24,32,36,42,35,,,1,5,0,2,1,2,1,1,2446298,0,0,111,1845,239,468,5602,50,6951,25,102303,10
3209,27/10/16,3,5,8,21,40,46,30,,,3,3,3,0,1,1,1,0,0,3,72390,94,1589,253,322,5034,50,7090,25,96125,10
